,,,1.0812801E-3,-4.60000010E-3,,,,,1.0812801E-3,728.000044823E-3,
,,,1.0813201E-3,-5.20000001E-3,,,,,1.0813201E-3,736.000061035E-3,
,,,1.0813600E-3,-4.60000010E-3,,,,,1.0813600E-3,736.000061035E-3,
,,,1.0814001E-3,-5.20000001E-3,,,,,1.0814001E-3,728.000044823E-3,
,,,1.0814400E-3,-4.79999976E-3,,,,,1.0814400E-3,728.000044823E-3,
,,,1.0814801E-3,-4.99999989E-3,,,,,1.0814801E-3,728.000044823E-3,
,,,1.0815201E-3,-4.39999998E-3,,,,,1.0815201E-3,728.000044823E-3,
,,,1.0815600E-3,-4.79999976E-3,,,,,1.0815600E-3,736.000061035E-3,
,,,1.0816001E-3,-3.99999972E-3,,,,,1.0816001E-3,728.000044823E-3,
,,,1.0816400E-3,-4.79999976E-3,,,,,1.0816400E-3,728.000044823E-3,
,,,1.0816801E-3,-4.39999998E-3,,,,,1.0816801E-3,728.000044823E-3,
,,,1.0817201E-3,-4.39999998E-3,,,,,1.0817201E-3,736.000061035E-3,
,,,1.0817600E-3,-4.60000010E-3,,,,,1.0817600E-3,728.000044823E-3,
,,,1.0818001E-3,-3.99999972E-3,,,,,1.0818001E-3,728.000044823E-3,
,,,1.0818400E-3,-4.19999985E-3,,,,,1.0818400E-3,736.000061035E-3,
,,,1.0818801E-3,-3.79999983E-3,,,,,1.0818801E-3,728.000044823E-3,
,,,1.0819201E-3,-3.99999972E-3,,,,,1.0819201E-3,728.000044823E-3,
,,,1.0819600E-3,-3.59999994E-3,,,,,1.0819600E-3,736.000061035E-3,
,,,1.0820001E-3,-4.39999998E-3,,,,,1.0820001E-3,728.000044823E-3,
,,,1.0820400E-3,-4.39999998E-3,,,,,1.0820400E-3,720.000028610E-3,
,,,1.0820801E-3,-4.39999998E-3,,,,,1.0820801E-3,728.000044823E-3,
,,,1.0821201E-3,-3.79999983E-3,,,,,1.0821201E-3,736.000061035E-3,
,,,1.0821600E-3,-4.39999998E-3,,,,,1.0821600E-3,736.000061035E-3,
,,,1.0822001E-3,-4.19999985E-3,,,,,1.0822001E-3,736.000061035E-3,
,,,1.0822400E-3,-4.19999985E-3,,,,,1.0822400E-3,728.000044823E-3,
,,,1.0822801E-3,-4.39999998E-3,,,,,1.0822801E-3,736.000061035E-3,
,,,1.0823201E-3,-4.19999985E-3,,,,,1.0823201E-3,728.000044823E-3,
,,,1.0823600E-3,-4.19999985E-3,,,,,1.0823600E-3,728.000044823E-3,
,,,1.0824001E-3,-3.39999981E-3,,,,,1.0824001E-3,720.000028610E-3,
,,,1.0824400E-3,-3.79999983E-3,,,,,1.0824400E-3,720.000028610E-3,
,,,1.0824801E-3,-3.59999994E-3,,,,,1.0824801E-3,728.000044823E-3,
,,,1.0825201E-3,-3.19999992E-3,,,,,1.0825201E-3,728.000044823E-3,
,,,1.0825600E-3,-3.99999972E-3,,,,,1.0825600E-3,728.000044823E-3,
